Program,Worker,Count,Avg_CPU,Max_Mem_KB,Exec_Time_sec
A,cpu,2,55.16,1536,8.07
A,cpu,3,68.18,1536,10.47
A,cpu,4,48.00,1536,10.60
A,cpu,5,38.15,1536,8.07
A,mem,2,61.48,16896,14.14
A,mem,3,69.22,16896,19.95
A,mem,4,55.35,16896,25.98
A,mem,5,46.02,16896,36.04
A,io,2,2.05,1536,10.39
A,io,3,2.23,1536,8.05
A,io,4,2.94,1536,10.41
A,io,5,2.17,1536,10.44
B,cpu,2,181.80,1792,7.84
B,cpu,3,187.25,1920,10.73
B,cpu,4,270.90,2048,10.62
B,cpu,5,236.97,2176,7.99
B,cpu,6,279.07,2048,10.66
B,cpu,7,252.12,2048,10.50
B,cpu,8,275.50,2048,8.10
B,mem,2,184.45,34432,13.60
B,mem,3,276.97,50944,17.99
B,mem,4,276.26,67328,27.49
B,mem,5,277.98,83712,32.18
B,mem,6,276.92,100096,35.56
B,mem,7,276.49,116352,44.71
B,mem,8,276.34,132736,58.98
B,io,2,5.95,1664,10.43
B,io,3,7.82,1664,8.08
B,io,4,10.76,1792,10.31
B,io,5,10.23,1920,10.42
B,io,6,10.10,1664,7.92
B,io,7,12.47,1792,10.61
B,io,8,15.02,1792,10.51
